Year,Model,Region,Units_Sold,Average_Price_USD,Revenue_USD,Estimated_Market_Share_Pct,Competition_Index_100,Average_Delivery_Days,Customer_Satisfaction_5
2019,Model 3,North America,120024,44271.6,5313654518.4,14.32,69.78,37,4.34
2019,Model 3,Europe,109141,39583.75,4320210058.75,16.65,74.07,31,4.41
2019,Model 3,Asia-Pacific,105156,40404.36,4248760880.16,11.83,68.26,42,4.42
2019,Model 3,Middle East & Africa,40695,40952.41,1666558324.95,11.96,72.38,46,4.23
2019,Model 3,Latin America,27559,42071.74,1159455082.66,13.11,76.89,30,4.17
2019,Model Y,North America,136645,51105.4,6983297383.0,14.83,77.1,34,4.11
2019,Model Y,Europe,112853,52455.92,5919807939.76,13.69,70.3,43,4.79
2019,Model Y,Asia-Pacific,128625,52817.51,6793652223.75,16.91,74.34,40,4.35
2019,Model Y,Middle East & Africa,49072,48175.9,2364087764.8,12.81,72.91,22,4.42
2019,Model Y,Latin America,35052,48685.61,1706528001.72,16.41,68.31,37,4.24
2019,Model S,North America,27779,95258.38,2646182538.02,3.36,96.28,42,4.34
2019,Model S,Europe,23331,88471.43,2064126933.33,2.68,98.0,37,4.35
2019,Model S,Asia-Pacific,27307,85286.43,2328916544.01,3.08,98.0,27,4.33
2019,Model S,Middle East & Africa,11063,85891.62,950218992.06,3.65,94.62,37,4.46
2019,Model S,Latin America,7908,89932.99,711190084.92,3.68,91.78,34,3.93
2019,Model X,North America,26179,99646.26,2608639440.54,2.66,98.0,46,4.08
2019,Model X,Europe,20517,90177.57,1850173203.69,2.52,97.47,44,4.22
2019,Model X,Asia-Pacific,22227,99475.17,2211034603.59,2.71,96.38,29,4.12
2019,Model X,Middle East & Africa,8791,94169.03,827839942.73,2.99,84.0,37,4.11
2019,Model X,Latin America,6026,100049.17,602896298.42,2.62,94.13,50,4.21
2019,Cybertruck,North America,16625,79246.04,1317465415.0,2.13,96.09,21,3.98
2019,Cybertruck,Europe,12833,75986.08,975129364.64,1.69,92.99,33,4.22
2019,Cybertruck,Asia-Pacific,14465,74905.07,1083501837.55,2.02,98.0,25,4.03
2019,Cybertruck,Middle East & Africa,6526,73810.05,481684386.3,2.1,98.0,39,4.57
2019,Cybertruck,Latin America,3719,78017.72,290147900.68,1.61,98.0,41,4.17
2020,Model 3,North America,147162,42731.67,6288478020.54,14.53,72.38,26,4.57
2020,Model 3,Europe,146167,40173.11,5871982969.37,18.25,65.72,37,4.52
2020,Model 3,Asia-Pacific,146820,42149.44,6188380780.8,16.16,73.02,35,4.45
2020,Model 3,Middle East & Africa,54510,41240.02,2247993490.2,18.04,70.0,43,4.37
2020,Model 3,Latin America,33347,39991.42,1333593882.74,16.23,74.18,48,4.4
2020,Model Y,North America,199521,48345.62,9645966448.02,23.66,54.41,24,4.53
2020,Model Y,Europe,175253,50945.68,8928383257.04,23.64,62.52,31,4.25
2020,Model Y,Asia-Pacific,167120,48463.94,8099293652.8,23.29,61.59,31,4.6
2020,Model Y,Middle East & Africa,69344,50461.42,3499196708.48,21.28,63.85,38,4.21
2020,Model Y,Latin America,43769,47145.9,2063528897.1,21.18,61.38,39,4.28
2020,Model S,North America,38289,93792.28,3591212608.92,3.98,95.94,35,3.97
2020,Model S,Europe,36537,92117.12,3365683213.44,4.93,92.05,27,4.39
2020,Model S,Asia-Pacific,38318,92127.77,3530151890.86,4.92,91.35,22,4.03
2020,Model S,Middle East & Africa,15227,93349.22,1421428572.94,5.26,90.63,40,4.46
2020,Model S,Latin America,9790,92181.24,902454339.6,4.96,91.1,30,4.34
2020,Model X,North America,32257,90371.39,2915109927.23,3.67,93.24,29,3.86
2020,Model X,Europe,28539,89647.7,2558455710.3,3.18,95.71,29,4.38
2020,Model X,Asia-Pacific,27852,95253.57,2653002431.64,3.66,95.61,23,4.62
2020,Model X,Middle East & Africa,12365,97577.44,1206545045.6,4.41,98.0,17,4.23
2020,Model X,Latin America,8545,92387.49,789451102.05,3.86,89.96,46,4.13
2020,Cybertruck,North America,20564,75443.04,1551410674.56,2.44,94.34,23,4.34
2020,Cybertruck,Europe,20381,77141.07,1572212147.67,2.74,89.76,48,4.05
2020,Cybertruck,Asia-Pacific,21370,70629.54,1509353269.8,2.24,90.85,37,4.31
2020,Cybertruck,Middle East & Africa,7826,71380.51,558623871.26,2.4,90.5,32,3.81
2020,Cybertruck,Latin America,5396,76215.84,411260672.64,2.11,91.0,45,3.91
2021,Model 3,North America,198149,43796.71,8678274289.79,23.11,57.59,32,4.5
2021,Model 3,Europe,169333,41436.38,7016546534.54,23.4,58.38,49,4.03
2021,Model 3,Asia-Pacific,201460,41425.96,8345673901.6,27.98,47.69,33,4.59
2021,Model 3,Middle East & Africa,63125,43584.92,2751298075.0,18.01,65.72,34,4.21
2021,Model 3,Latin America,48991,43902.46,2150825417.86,24.38,53.6,39,4.49
2021,Model Y,North America,259821,52943.03,13755710997.63,27.94,46.87,42,4.32
2021,Model Y,Europe,195513,52584.54,10280961169.02,28.86,54.26,28,4.37
2021,Model Y,Asia-Pacific,244150,50031.51,12215193166.5,32.59,45.0,37,4.42
2021,Model Y,Middle East & Africa,84803,47065.03,3991255739.09,29.62,45.6,27,4.79
2021,Model Y,Latin America,57361,48759.26,2796879912.86,24.96,59.33,41,4.54
2021,Model S,North America,52964,93127.88,4932425036.32,5.07,88.08,31,3.82
2021,Model S,Europe,45449,88389.88,4017231656.12,5.23,97.67,35,4.1
2021,Model S,Asia-Pacific,46832,85692.12,4013133363.84,4.86,89.52,33,4.3
2021,Model S,Middle East & Africa,16030,85516.25,1370825487.5,5.73,93.18,20,3.95
2021,Model S,Latin America,12772,94830.28,1211172336.16,6.85,85.01,42,3.85
2021,Model X,North America,45877,90567.65,4154972079.05,5.07,97.15,31,4.15
2021,Model X,Europe,31373,90654.52,2844104255.96,3.61,98.0,38,4.27
2021,Model X,Asia-Pacific,37301,92557.12,3452473133.12,5.04,91.28,33,4.2
2021,Model X,Middle East & Africa,13509,95613.94,1291648715.46,4.81,98.0,35,4.12
2021,Model X,Latin America,10339,95961.18,992142640.02,5.41,97.7,49,4.06
2021,Cybertruck,North America,26031,72193.09,1879258325.79,2.85,98.0,17,3.83
2021,Cybertruck,Europe,24840,76662.58,1904298487.2,2.91,96.21,21,4.51
2021,Cybertruck,Asia-Pacific,27928,78294.58,2186611030.24,2.85,94.58,29,4.23
2021,Cybertruck,Middle East & Africa,9617,79229.23,761947504.91,3.3,89.67,31,4.41
2021,Cybertruck,Latin America,6465,72960.66,471690666.9,2.54,96.47,34,4.45
2022,Model 3,North America,249017,43105.79,10734074508.43,25.26,55.78,21,4.38
2022,Model 3,Europe,209596,41897.09,8781462475.64,25.14,58.99,42,4.25
2022,Model 3,Asia-Pacific,215524,41470.82,8937957009.68,28.3,47.84,39,4.45
2022,Model 3,Middle East & Africa,82009,41672.52,3417521692.68,28.4,45.0,28,4.7
2022,Model 3,Latin America,50280,39564.8,1989318144.0,19.45,68.5,38,4.03
2022,Model Y,North America,267888,48880.48,13094494026.24,33.67,45.0,13,4.4
2022,Model Y,Europe,237768,51391.57,12219270815.76,35.0,45.0,16,4.49
2022,Model Y,Asia-Pacific,250519,52086.99,13048780647.81,30.09,50.33,18,4.43
2022,Model Y,Middle East & Africa,90182,47051.75,4243220918.5,24.53,55.54,33,4.23
2022,Model Y,Latin America,60961,48337.89,2946726112.29,31.86,50.87,27,4.39
